"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SKBIANCHE";"NUMVOTISI";"NUMVOTINO"
"PUGLIA";"BRINDISI";"1";"Rimborso spese per consultazioni elettorali e referendarie";342408;164236;"86388";"44621";"9556";"55938";18182
"SARDEGNA";"CAGLIARI";"1";"Rimborso spese per consultazioni elettorali e referendarie";654684;319284;"182053";"92288";"10471";"128963";38809
"SARDEGNA";"CAGLIARI";"6";"Licenziamenti";654684;319284;"183210";"92875";"6787";"56355";116835
"SARDEGNA";"CAGLIARI";"5";"Incarichi extragiudiziari dei magistrati";654684;319284;"181274";"91835";"14430";"130867";31713
"SARDEGNA";"CAGLIARI";"4";"Ordinamento giudiziario";654684;319284;"181114";"91765";"16455";"118716";41167
"SARDEGNA";"CAGLIARI";"3";"Elezione del Consiglio Superiore della Magistratura";654684;319284;"180713";"91541";"20326";"117238";37600
"SARDEGNA";"CAGLIARI";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";654684;319284;"183158";"92921";"10858";"142467";25634
"SARDEGNA";"CAGLIARI";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";654684;319284;"181673";"92088";"13004";"111559";52989
"SICILIA";"CALTANISSETTA";"6";"Licenziamenti";273838;133779;"59998";"31471";"5663";"20602";30730
"SICILIA";"CALTANISSETTA";"1";"Rimborso spese per consultazioni elettorali e referendarie";273838;133779;"59733";"31333";"6522";"38660";11396
"SICILIA";"CALTANISSETTA";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";273838;133779;"60079";"31529";"6643";"40777";9130
"SICILIA";"CALTANISSETTA";"4";"Ordinamento giudiziario";273838;133779;"59966";"31451";"7863";"37701";11031
"SICILIA";"CALTANISSETTA";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";273838;133779;"59980";"31449";"7157";"35773";13642
"SICILIA";"CALTANISSETTA";"5";"Incarichi extragiudiziari dei magistrati";273838;133779;"59977";"31454";"7414";"39271";9968
"SICILIA";"CALTANISSETTA";"3";"Elezione del Consiglio Superiore della Magistratura";273838;133779;"59926";"31415";"8524";"36898";10837
"MOLISE";"CAMPOBASSO";"3";"Elezione del Consiglio Superiore della Magistratura";226753;110906;"61044";"32017";"7518";"38787";10815
"MOLISE";"CAMPOBASSO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";226753;110906;"61905";"32490";"5478";"44605";8513
"MOLISE";"CAMPOBASSO";"4";"Ordinamento giudiziario";226753;110906;"61394";"32196";"6943";"39006";11587
"MOLISE";"CAMPOBASSO";"5";"Incarichi extragiudiziari dei magistrati";226753;110906;"61455";"32238";"6379";"41491";10039
"MOLISE";"CAMPOBASSO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";226753;110906;"61494";"32258";"6034";"36781";15194
"MOLISE";"CAMPOBASSO";"6";"Licenziamenti";226753;110906;"61836";"32440";"4037";"21226";33903
